2018-04-26 18:10:19 status half-installed libcap-ng0:armhf 0.7.7-3.1
2018-04-26 18:10:19 status unpacked libcap-ng0:armhf 0.7.7-3.1
2018-04-26 18:10:19 status unpacked libcap-ng0:armhf 0.7.7-3.1
2018-04-26 18:10:19 install libcom-err2:armhf <none> 1.44.1-1
2018-04-26 18:10:19 status half-installed libcom-err2:armhf 1.44.1-1
2018-04-26 18:10:19 status unpacked libcom-err2:armhf 1.44.1-1
2018-04-26 18:10:19 status unpacked libcom-err2:armhf 1.44.1-1
2018-04-26 18:10:19 install libdb5.3:armhf <none> 5.3.28-13.1ubuntu1
2018-04-26 18:10:19 status half-installed libdb5.3:armhf 5.3.28-13.1ubuntu1
2018-04-26 18:10:19 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2018-04-26 18:10:19 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2018-04-26 18:10:19 install libdebconfclient0:armhf <none> 0.213ubuntu1
2018-04-26 18:10:19 status half-installed libdebconfclient0:armhf 0.213ubuntu1
2018-04-26 18:10:19 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2018-04-26 18:10:19 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2018-04-26 18:10:19 install libext2fs2:armhf <none> 1.44.1-1
2018-04-26 18:10:19 status half-installed libext2fs2:armhf 1.44.1-1
2018-04-26 18:10:19 status unpacked libext2fs2:armhf 1.44.1-1
2018-04-26 18:10:19 status unpacked libext2fs2:armhf 1.44.1-1
2018-04-26 18:10:19 install libfdisk1:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 status half-installed libfdisk1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 install libgcc1:armhf <none> 1:8-20180414-1ubuntu2
2018-04-26 18:10:19 status half-installed libgcc1:armhf 1:8-20180414-1ubuntu2
2018-04-26 18:10:19 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2018-04-26 18:10:19 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2018-04-26 18:10:19 install libgcrypt20:armhf <none> 1.8.1-4ubuntu1
2018-04-26 18:10:19 status half-installed libgcrypt20:armhf 1.8.1-4ubuntu1
2018-04-26 18:10:19 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2018-04-26 18:10:19 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2018-04-26 18:10:19 install libgpg-error0:armhf <none> 1.27-6
2018-04-26 18:10:19 status half-installed libgpg-error0:armhf 1.27-6
2018-04-26 18:10:19 status unpacked libgpg-error0:armhf 1.27-6
2018-04-26 18:10:19 status unpacked libgpg-error0:armhf 1.27-6
2018-04-26 18:10:19 install liblz4-1:armhf <none> 0.0~r131-2ubuntu3
2018-04-26 18:10:19 status half-installed liblz4-1:armhf 0.0~r131-2ubuntu3
2018-04-26 18:10:19 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2018-04-26 18:10:19 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2018-04-26 18:10:19 install liblzma5:armhf <none> 5.2.2-1.3
2018-04-26 18:10:19 status half-installed liblzma5:armhf 5.2.2-1.3
2018-04-26 18:10:19 status unpacked liblzma5:armhf 5.2.2-1.3
2018-04-26 18:10:19 status unpacked liblzma5:armhf 5.2.2-1.3
2018-04-26 18:10:19 install libmount1:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 status half-installed libmount1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:19 install libncurses5:armhf <none> 6.1-1ubuntu1
2018-04-26 18:10:19 status half-installed libncurses5:armhf 6.1-1ubuntu1
2018-04-26 18:10:19 status unpacked libncurses5:armhf 6.1-1ubuntu1
2018-04-26 18:10:19 status unpacked libncurses5:armhf 6.1-1ubuntu1
2018-04-26 18:10:19 install libncursesw5:armhf <none> 6.1-1ubuntu1
2018-04-26 18:10:19 status half-installed libncursesw5:armhf 6.1-1ubuntu1
2018-04-26 18:10:19 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2018-04-26 18:10:19 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2018-04-26 18:10:19 install libpam-modules:armhf <none> 1.1.8-3.6ubuntu2
2018-04-26 18:10:19 status half-installed libpam-modules:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 install libpam-modules-bin:armhf <none> 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status half-installed libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2018-04-26 18:10:20 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
